檢驗站站號,檢驗站站名,檢驗站地址,檢驗站市話
B10,新富國輪業有限公司,臺中市西區昇平里向上路一段118號1樓,(04)23015360
B11,一二車業有限公司,臺中市南屯區黎明路一段1094號一樓,(04)23899474
B12,東和車業商行,臺中市南區工學里工學路179號1樓,(04)22606199
B13,證達企業有限公司,臺中市北區賴興里山西路二段135號一樓,(04)22916766
B14,光賜機車店,台中市北區梅豐街88號 (靠進化路）,(04)22319337
B15,海蔦輪業有限公司,臺中市北屯區北屯路236之6號1樓,(04)22310822
B17,國瑋機車商行,台中市西屯區何厝街17號,(04)23130848
B18,明風車業有限公司,臺中市西屯區西屯路三段33號,(04)27022165
B19,元輪機車有限公司,台中市西區西屯路二段9-1號,(04)23147471
B20,昇興機車行,臺中市西屯區上石里西屯路二段271之2號1樓,(04)27017352
B21,水湳車業有限公司,臺中市北屯區大德里中清路二段378號,(04)22929587
B22,光雄輪業有限公司,臺中市西區公民里五權路1之43號1樓（四街口）,(04)23724408
B23,儷豐輪業有限公司,臺中市南區江川里五權南路280號1樓,(04)22616045
B24,鴻鼎車行,臺中市北屯區水湳里大連路一段29號1樓,(04)22958551
B25,勁葉輪業有限公司,臺中市北區邱厝里中清路一段216號,(04)22061813
B27,坤發輪業行,臺中市北屯區仁和里水湳路142之1號,(04)24226667
B28,富貴輪輪業有限公司,臺中市北屯區松竹里昌平路二段9之13號1樓,(04)22417949
B29,盛泰機車行,臺中市北屯區新平里中清路二段375號,(04)22923823
B30,永鑫輪業行,臺中市北屯區三和里東光路742號1樓,(04)24364306
B31,金冠輪車業有限公司,臺中市北屯區進化北路65號1樓,(04)22339374
B32,先輪機車商號,臺中市北區金龍里三民路三段337號1樓,(04)22321919
B34,錦陽車業商行,臺中市北區五常里五權路385號1樓,(04)22010606
B35,同陽機車行,臺中市西屯區西墩里西屯路三段57之7號1樓,(04)27067071
B36,泰豪車業有限公司,臺中市北區賴村里進化北路421號,(04)22050556
